8.000	0.804	-0.153
4.000	0.765	-3.998
5.000	0.118	-0.446
4.000	0.294	-2.142
10.000	0.542	2.878
14.000	0.791	5.899
6.000	1.039	-3.081
8.000	0.686	0.311
2.000	0.333	-4.297
5.000	0.490	-1.915
8.000	1.235	-1.854
11.000	1.510	0.063
6.000	0.549	-1.147
14.000	1.098	4.687
5.000	0.333	-1.297
14.000	2.284	0.008
23.000	4.235	1.313
12.000	2.676	-3.538
17.000	1.118	7.610
5.000	0.922	-3.617
5.000	0.725	-2.843
5.000	0.529	-2.070
4.333	0.863	-4.052
3.667	0.157	-1.934
3.000	0.608	-4.379
13.000	1.412	2.450
11.000	1.216	1.223
1.000	0.275	-5.065
5.000	0.275	-1.065
6.000	0.569	-1.225
8.000	1.275	-2.009
9.000	1.333	-1.241
17.000	2.176	3.434
15.500	1.824	3.326
14.000	0.843	5.692
7.000	0.353	0.626
8.500	0.039	3.363
10.000	1.216	0.223
7.000	0.275	0.935
13.000	0.314	6.781
14.000	2.922	-2.505
0.000	0.608	-7.379
15.000	2.686	-0.577
1.000	0.314	-5.219
18.000	2.118	4.666
4.000	1.843	-8.252
7.000	1.569	-4.169
8.000	2.078	-5.180
9.000	1.529	-2.014
14.000	0.980	5.151
10.000	0.892	1.499
7.000	0.804	-1.153
4.000	0.863	-4.385
8.000	0.216	2.167
12.000	1.484	1.166
16.000	2.752	0.165
20.000	4.020	-0.836
18.333	2.987	1.570
16.667	1.954	3.977
15.000	0.922	6.383
5.000	0.667	-2.611
7.000	0.693	-0.715
9.000	0.719	1.182
6.000	0.745	-1.921
5.000	1.451	-5.705
14.000	0.843	5.692
11.000	0.765	3.002
7.000	0.529	-0.070
3.000	0.294	-3.142
9.000	2.176	-4.566
7.000	1.078	-2.236
6.000	1.307	-4.138
5.000	1.536	-6.040
18.000	1.765	6.058
10.000	0.216	4.167
2.000	0.216	-3.833
13.000	1.137	3.532
12.667	0.954	3.921
12.333	0.771	4.309
12.000	0.588	4.698
12.000	1.529	0.986
10.750	5.922	-17.588
9.500	3.667	-9.944
8.250	1.412	-2.300
7.000	1.863	-5.329
6.000	1.235	-3.854
5.000	0.608	-2.379
4.000	0.725	-3.843
3.000	0.843	-5.308
12.000	2.235	-1.798
15.000	1.529	3.986
18.000	2.039	4.975
11.500	1.137	2.032
5.000	0.235	-0.910
15.500	1.922	2.939
26.000	4.961	1.452
3.000	0.196	-2.755
5.000	0.902	-3.540
5.000	0.667	-2.611
5.000	0.431	-1.683
5.000	0.431	-1.683
5.000	0.098	-0.369
6.000	0.333	-0.297
7.000	0.569	-0.225
5.000	0.471	-1.838
5.000	3.333	-13.129
5.000	1.431	-5.628
8.000	1.412	-2.550
5.000	1.176	-4.622
35.000	0.951	26.267
8.000	0.725	0.157
6.000	2.235	-7.798
35.000	3.745	15.247
14.000	2.706	-1.654
22.000	4.431	-0.460
18.000	2.863	1.727
17.000	2.196	3.356
16.000	1.529	4.986
15.000	0.863	6.615
9.500	0.196	3.745
4.000	0.578	-3.263
5.000	0.961	-3.772
4.000	0.725	-3.843
3.000	0.490	-3.915
32.000	4.098	10.855
8.000	2.098	-5.257
8.000	1.176	-1.622
7.500	0.784	-0.575
7.000	0.392	0.471
5.000	0.529	-2.070
18.000	4.686	-5.465
14.000	3.144	-3.382
18.000	1.601	6.702
2.000	0.059	-3.214
14.000	0.784	5.925
10.000	0.627	2.543
7.333	0.471	0.495
4.667	0.314	-1.553
2.000	0.157	-3.601
7.000	0.275	0.935
12.000	0.392	5.471
20.000	1.039	10.919
14.000	0.314	7.781
5.000	0.373	-1.451
6.000	0.431	-0.683
6.000	0.595	-1.328
5.000	0.758	-2.972
6.000	0.922	-2.617
8.000	0.451	1.239
6.000	1.020	-3.004
5.000	0.275	-1.065
19.000	1.804	6.903
22.000	1.529	10.986
20.000	1.255	10.068
5.000	0.941	-3.694
38.000	6.686	6.646
38.000	4.510	15.231
13.000	0.294	6.858
10.000	1.078	0.764
1.000	0.039	-4.137
1.000	0.196	-4.755
5.500	0.353	-0.874
10.000	0.510	3.007
6.000	0.333	-0.297
15.000	1.725	3.212
6.000	1.569	-5.169
11.000	1.353	0.682
35.000	6.520	4.304
59.000	11.686	7.926
15.000	1.882	2.594
10.000	0.784	1.925
7.000	1.373	-3.396
34.500	1.039	25.419
62.000	10.020	17.499
14.000	7.000	-18.591
5.000	3.980	-15.681
3.000	0.961	-5.772
1.000	0.196	-4.755
7.000	0.745	-0.921
5.000	0.294	-1.142
7.333	0.363	0.921
9.667	0.431	2.983
12.000	0.725	4.157
5.000	3.363	-13.245
13.000	6.000	-15.647
19.000	0.647	11.466
8.000	0.275	1.935
33.000	5.510	6.286
9.000	4.667	-14.388
21.000	3.824	0.937
14.000	2.549	-1.036
9.000	1.343	-1.280
4.000	0.137	-1.523
5.000	0.889	-3.488
13.000	1.641	1.547
21.000	2.392	6.583
11.000	0.745	3.079
5.000	0.333	-1.297
